# C11 + n > C12 + g   [C11_n__C12_g]   ref=Rauscher et al. 1994
# forward[T9] = With[{T932=T9^(3/2)},(3.18*^4 +3.30*^3/T932*Exp[-0.917/T9]+1.05*^6/T932*Exp[-5.57/T9])]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   3.180000e+04   3.000000e+00
1.009262e-03   3.180000e+04   3.000000e+00
1.018610e-03   3.180000e+04   3.000000e+00
1.028045e-03   3.180000e+04   3.000000e+00
1.037567e-03   3.180000e+04   3.000000e+00
1.047177e-03   3.180000e+04   3.000000e+00
1.056876e-03   3.180000e+04   3.000000e+00
1.066665e-03   3.180000e+04   3.000000e+00
1.076545e-03   3.180000e+04   3.000000e+00
1.086516e-03   3.180000e+04   3.000000e+00
1.096579e-03   3.180000e+04   3.000000e+00
1.106736e-03   3.180000e+04   3.000000e+00
1.116987e-03   3.180000e+04   3.000000e+00
1.127333e-03   3.180000e+04   3.000000e+00
1.137774e-03   3.180000e+04   3.000000e+00
1.148312e-03   3.180000e+04   3.000000e+00
1.158948e-03   3.180000e+04   3.000000e+00
1.169683e-03   3.180000e+04   3.000000e+00
1.180517e-03   3.180000e+04   3.000000e+00
1.191451e-03   3.180000e+04   3.000000e+00
1.202486e-03   3.180000e+04   3.000000e+00
1.213624e-03   3.180000e+04   3.000000e+00
1.224865e-03   3.180000e+04   3.000000e+00
1.236210e-03   3.180000e+04   3.000000e+00
1.247660e-03   3.180000e+04   3.000000e+00
1.259216e-03   3.180000e+04   3.000000e+00
1.270879e-03   3.180000e+04   3.000000e+00
1.282650e-03   3.180000e+04   3.000000e+00
1.294530e-03   3.180000e+04   3.000000e+00
1.306520e-03   3.180000e+04   3.000000e+00
1.318621e-03   3.180000e+04   3.000000e+00
1.330835e-03   3.180000e+04   3.000000e+00
1.343161e-03   3.180000e+04   3.000000e+00
1.355602e-03   3.180000e+04   3.000000e+00
1.368158e-03   3.180000e+04   3.000000e+00
1.380830e-03   3.180000e+04   3.000000e+00
1.393619e-03   3.180000e+04   3.000000e+00
1.406527e-03   3.180000e+04   3.000000e+00
1.419555e-03   3.180000e+04   3.000000e+00
1.432703e-03   3.180000e+04   3.000000e+00
1.445973e-03   3.180000e+04   3.000000e+00
1.459366e-03   3.180000e+04   3.000000e+00
1.472883e-03   3.180000e+04   3.000000e+00
1.486525e-03   3.180000e+04   3.000000e+00
1.500293e-03   3.180000e+04   3.000000e+00
1.514189e-03   3.180000e+04   3.000000e+00
1.528214e-03   3.180000e+04   3.000000e+00
1.542369e-03   3.180000e+04   3.000000e+00
1.556654e-03   3.180000e+04   3.000000e+00
1.571072e-03   3.180000e+04   3.000000e+00
1.585624e-03   3.180000e+04   3.000000e+00
1.600310e-03   3.180000e+04   3.000000e+00
1.615133e-03   3.180000e+04   3.000000e+00
1.630092e-03   3.180000e+04   3.000000e+00
1.645191e-03   3.180000e+04   3.000000e+00
1.660429e-03   3.180000e+04   3.000000e+00
1.675808e-03   3.180000e+04   3.000000e+00
1.691330e-03   3.180000e+04   3.000000e+00
1.706995e-03   3.180000e+04   3.000000e+00
1.722805e-03   3.180000e+04   3.000000e+00
1.738762e-03   3.180000e+04   3.000000e+00
1.754867e-03   3.180000e+04   3.000000e+00
1.771121e-03   3.180000e+04   3.000000e+00
1.787526e-03   3.180000e+04   3.000000e+00
1.804082e-03   3.180000e+04   3.000000e+00
1.820792e-03   3.180000e+04   3.000000e+00
1.837656e-03   3.180000e+04   3.000000e+00
1.854677e-03   3.180000e+04   3.000000e+00
1.871855e-03   3.180000e+04   3.000000e+00
1.889193e-03   3.180000e+04   3.000000e+00
1.906691e-03   3.180000e+04   3.000000e+00
1.924351e-03   3.180000e+04   3.000000e+00
1.942175e-03   3.180000e+04   3.000000e+00
1.960163e-03   3.180000e+04   3.000000e+00
1.978319e-03   3.180000e+04   3.000000e+00
1.996642e-03   3.180000e+04   3.000000e+00
2.015136e-03   3.180000e+04   3.000000e+00
