# F18 + a > Na22 + g   [F18_a__Na22_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.5076e+10 beta=1.5 gamma=-98.418  Q=8.481
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.000001e-35   1.000000e+02
1.018610e-03   1.000003e-35   1.000000e+02
1.028045e-03   1.000004e-35   1.000000e+02
1.037567e-03   1.000006e-35   1.000000e+02
1.047177e-03   1.000007e-35   1.000000e+02
1.056876e-03   1.000008e-35   1.000000e+02
1.066665e-03   1.000009e-35   1.000000e+02
1.076545e-03   1.000010e-35   1.000000e+02
1.086516e-03   1.000011e-35   1.000000e+02
1.096579e-03   1.000012e-35   1.000000e+02
1.106736e-03   1.000013e-35   1.000000e+02
1.116987e-03   1.000014e-35   1.000000e+02
1.127333e-03   1.000015e-35   1.000000e+02
1.137774e-03   1.000015e-35   1.000000e+02
1.148312e-03   1.000016e-35   1.000000e+02
1.158948e-03   1.000017e-35   1.000000e+02
1.169683e-03   1.000017e-35   1.000000e+02
1.180517e-03   1.000018e-35   1.000000e+02
1.191451e-03   1.000018e-35   1.000000e+02
1.202486e-03   1.000019e-35   1.000000e+02
1.213624e-03   1.000019e-35   1.000000e+02
1.224865e-03   1.000019e-35   1.000000e+02
1.236210e-03   1.000020e-35   1.000000e+02
1.247660e-03   1.000020e-35   1.000000e+02
1.259216e-03   1.000020e-35   1.000000e+02
1.270879e-03   1.000020e-35   1.000000e+02
1.282650e-03   1.000021e-35   1.000000e+02
1.294530e-03   1.000021e-35   1.000000e+02
1.306520e-03   1.000021e-35   1.000000e+02
1.318621e-03   1.000021e-35   1.000000e+02
1.330835e-03   1.000021e-35   1.000000e+02
1.343161e-03   1.000021e-35   1.000000e+02
1.355602e-03   1.000021e-35   1.000000e+02
1.368158e-03   1.000020e-35   1.000000e+02
1.380830e-03   1.000020e-35   1.000000e+02
1.393619e-03   1.000020e-35   1.000000e+02
1.406527e-03   1.000020e-35   1.000000e+02
1.419555e-03   1.000020e-35   1.000000e+02
1.432703e-03   1.000019e-35   1.000000e+02
1.445973e-03   1.000019e-35   1.000000e+02
1.459366e-03   1.000019e-35   1.000000e+02
1.472883e-03   1.000018e-35   1.000000e+02
1.486525e-03   1.000018e-35   1.000000e+02
1.500293e-03   1.000018e-35   1.000000e+02
1.514189e-03   1.000017e-35   1.000000e+02
1.528214e-03   1.000017e-35   1.000000e+02
1.542369e-03   1.000016e-35   1.000000e+02
1.556654e-03   1.000016e-35   1.000000e+02
1.571072e-03   1.000015e-35   1.000000e+02
1.585624e-03   1.000015e-35   1.000000e+02
1.600310e-03   1.000014e-35   1.000000e+02
1.615133e-03   1.000014e-35   1.000000e+02
1.630092e-03   1.000013e-35   1.000000e+02
1.645191e-03   1.000013e-35   1.000000e+02
1.660429e-03   1.000012e-35   1.000000e+02
1.675808e-03   1.000012e-35   1.000000e+02
1.691330e-03   1.000011e-35   1.000000e+02
1.706995e-03   1.000010e-35   1.000000e+02
1.722805e-03   1.000010e-35   1.000000e+02
1.738762e-03   1.000009e-35   1.000000e+02
1.754867e-03   1.000009e-35   1.000000e+02
1.771121e-03   1.000008e-35   1.000000e+02
1.787526e-03   1.000007e-35   1.000000e+02
1.804082e-03   1.000007e-35   1.000000e+02
1.820792e-03   1.000006e-35   1.000000e+02
1.837656e-03   1.000006e-35   1.000000e+02
1.854677e-03   1.000005e-35   1.000000e+02
1.871855e-03   1.000004e-35   1.000000e+02
1.889193e-03   1.000004e-35   1.000000e+02
1.906691e-03   1.000003e-35   1.000000e+02
1.924351e-03   1.000002e-35   1.000000e+02
1.942175e-03   1.000002e-35   1.000000e+02
1.960163e-03   1.000001e-35   1.000000e+02
1.978319e-03   1.000001e-35   1.000000e+02
1.996642e-03   1.000000e-35   1.000000e+02
2.015136e-03   9.999995e-36   1.000000e+02
2.033800e-03   9.999990e-36   1.000000e+02
2.052638e-03   9.999985e-36   1.000000e+02
2.071650e-03   9.999979e-36   1.000000e+02
2.090838e-03   9.999974e-36   1.000000e+02
2.110203e-03   9.999969e-36   1.000000e+02
2.129749e-03   9.999964e-36   1.000000e+02
2.149475e-03   9.999960e-36   1.000000e+02
2.169384e-03   9.999955e-36   1.000000e+02
2.189477e-03   9.999951e-36   1.000000e+02
2.209756e-03   9.999947e-36   1.000000e+02
2.230223e-03   9.999943e-36   1.000000e+02
2.250880e-03   9.999940e-36   1.000000e+02
2.271728e-03   9.999937e-36   1.000000e+02
2.292769e-03   9.999933e-36   1.000000e+02
2.314005e-03   9.999931e-36   1.000000e+02
2.335438e-03   9.999928e-36   1.000000e+02
